1,7,5
2,5,9
2,2,3
2,8,5
3,9,7
2,5,2
1,4,6
2,1,4
23,7,5
4,8,5
7,7,1
16,5,7
1,6,5
1,2,4
2,3,9
1,2,3
13,5,1
1,3,8
1,9,4
19,1,9
2,1,9
22,9,8
14,8,5
12,5,3
21,7,9
14,9,7
1,8,6
9,3,7
1,3,2
4,4,1
1,2,4
1,3,9
6,8,9
4,1,7
2,5,9
6,4,5
4,7,4
1,5,3
5,9,7
2,3,1
6,9,6
1,1,6
2,4,2
8,7,5
20,7,5
2,5,6
4,9,5
1,1,3
1,3,4
1,2,7
1,4,9
9,6,3
2,4,3
28,5,3
1,8,3
1,8,1
1,2,8
1,6,2
1,8,1
6,5,7
1,5,1
1,9,2
1,1,3
1,9,7
2,1,2
11,3,8
3,8,6
3,6,9
25,3,7
4,3,8
4,2,3
9,8,9
2,3,7
3,8,2
11,9,7
1,9,1
4,7,3
1,1,5
23,7,2
12,2,3
2,3,9
12,2,1
2,3,9
1,5,4
1,2,5
1,9,4
1,5,9
2,4,2
3,1,4
1,2,1
10,3,2
7,7,3
11,7,9
5,3,1
1,4,5
11,2,3
9,9,3
3,9,4
2,4,8
1,5,6
13,1,5
3,3,8
3,7,2
1,7,4
3,8,3
8,3,8
4,4,5
2,8,2
8,8,3
1,6,3
2,2,8
6,5,2
3,2,8
1,1,7
2,9,3
3,5,4
2,8,6
